module,function,source_file,line_start,line_end,ccm,strategy,char_length,sha256
encounter,buildEncounterSummary,src/encounter/encounter.service.ts,365,439,20,zero_shot,5899,72e4348f2f8b148e75dffa5f4bbd1ac4c6985109bdd8994c88f0c51bcc181e8f
encounter,buildEncounterSummary,src/encounter/encounter.service.ts,365,439,20,few_shot,9196,0727038a2043b570912f9c8cbbab4bb208fcacfd7196076c3d7a0ae8a68ff828
encounter,buildEncounterSummary,src/encounter/encounter.service.ts,365,439,20,structured,10408,83e6855b03c55247181b253562c01666defb0c278dc037925b90589ea870868e
order,getOrderById,src/order/order.service.ts,26,32,2,zero_shot,4103,19ed7847252d551221b6b0e0d3dac32b8a0bdca620a48d1de83766d4d2535dfa
order,getOrderById,src/order/order.service.ts,26,32,2,few_shot,7391,52ef2be2da764201676d1a6f3f71352c1c3c24016e14225ba06686d2ad89fe17
order,getOrderById,src/order/order.service.ts,26,32,2,structured,7215,5f85b2e4d30aadd38f013b5f2f897102d664af4af852a89e5c5af144a7008fa1
order,createOrder,src/order/order.service.ts,34,70,5,zero_shot,5131,e5f92cb6128e7f21c9eabd5499ab82e89bafcc4fc4bc690871062a5b6b517d06
order,createOrder,src/order/order.service.ts,34,70,5,few_shot,8418,eb9aa5fda6dac2ece0710da4e9dd89464188767dce4a8b94719e69a84ee65d8b
order,createOrder,src/order/order.service.ts,34,70,5,structured,8857,68ea8e09cb1e75419f31dcea61008ed16fb9c7cc5bd94c07fb2a2839f3b7d9db
order,searchOrders,src/order/order.service.ts,72,74,1,zero_shot,4166,3ecfdde4f51821b91570dc338475cf49391f82c78b75659bb5de6dd699d748e2
order,searchOrders,src/order/order.service.ts,72,74,1,few_shot,7454,1dc7532b6fdcf53a7785a5d67293f0a01fa064031237d773c67faae4b8280c50
order,searchOrders,src/order/order.service.ts,72,74,1,structured,7213,6b7b19545dce672f6a599279d366cb08c41e06d94a8e319ce7f92ea4242dbc74
order,searchOrdersAdvanced,src/order/order.service.ts,76,78,1,zero_shot,4487,e8fd180cae8b452b94b8d485fd80fb0bd9b766e5ff5277a20126461c3fa98d9e
order,searchOrdersAdvanced,src/order/order.service.ts,76,78,1,few_shot,7783,4bb828c8c2d354263aea386ab7f9b5d28e308420ea1926d833734aadcdd65e3b
order,searchOrdersAdvanced,src/order/order.service.ts,76,78,1,structured,7606,b6c07e78b317f64b671ff5f2f3aaf38fa03976fabeda2a4461f71e6d0a5a9eb7
order,validateOrderResult,src/order/order.service.ts,80,158,15,zero_shot,6431,be94a6b7e0e15c44047067a42c8eb7d88563e64397198ade323b9c3be8c763b3
order,validateOrderResult,src/order/order.service.ts,80,158,15,few_shot,9726,8e3832537eaddc568d557f4c52f0deb6279109856a17686276596f931128ea34
order,validateOrderResult,src/order/order.service.ts,80,158,15,structured,11185,ec96ca3fb4bdd8e88d360f451a49203a14b1572fb8705c1a66ae3d3e8055fde8
order,cancelOrder,src/order/order.service.ts,160,168,2,zero_shot,4191,c632b22d8a67e9c1e311ef2d034495e7e8a2b24d23bb20e555f0cac1ed4472c7
order,cancelOrder,src/order/order.service.ts,160,168,2,few_shot,7478,ee63925b074662ca138e040f938b94c2a0e10e45673d713078eb05bf1306daa8
order,cancelOrder,src/order/order.service.ts,160,168,2,structured,7424,a097086f3d6e9ef3b019120a4b67582f8de5aadb245723414f12d27623ebe0c5
order,updateOrder,src/order/order.service.ts,170,203,7,zero_shot,4840,769483328d7c709f4f6a02a89b5396c602eae20e1cbbff5be8016240a558e54a
order,updateOrder,src/order/order.service.ts,170,203,7,few_shot,8127,5662c23cc0063acf13558e011ca69a5628650dc51fa0984063a8000c1292ba6f
order,updateOrder,src/order/order.service.ts,170,203,7,structured,8471,6e09ee9e3c1abe363d0ec1c5c9cdc11931b759a81f6a57ab5fc623784cd035e3
patient,getPatientById,src/patient/patient.service.ts,15,21,2,zero_shot,2481,6ace989a39398ebf8ef56e3060663aa404431f8a4782b67cd6bf884f2ad2f1da
patient,getPatientById,src/patient/patient.service.ts,15,21,2,few_shot,5771,789a8ba396fb4b4d3f6c406d04eef666c8eb91f1f6d2091f6d2bf5d7bc1b7c40
patient,getPatientById,src/patient/patient.service.ts,15,21,2,structured,5580,099016b8ab1824043b3ca9f1208b979b51b2437d2af4310502f4e8c905ddece6
patient,listPatients,src/patient/patient.service.ts,23,25,1,zero_shot,2328,ab3debabc984bfa14e03fac4f75a2e76c164083dd7c73f8c3008c47e0d37cf93
patient,listPatients,src/patient/patient.service.ts,23,25,1,few_shot,5616,3a7034e62099f049893ea450627aab29a58738a68ea10a0780f7d4adf7d7b716
patient,listPatients,src/patient/patient.service.ts,23,25,1,structured,5327,70b189c49e695bafc53552c049fc6a01367d920081a9fa3e4a249029b4a263ca
patient,createPatient,src/patient/patient.service.ts,27,51,4,zero_shot,3260,f80d72232987ec98ecbcaf913169b5d8e8da5f42972e2ed1ff2524b3518bfbd5
patient,createPatient,src/patient/patient.service.ts,27,51,4,few_shot,6549,fe5baf36e8fd8b19b43e51feacb81a7c1c8d2fb4824c0089bf20611268361318
patient,createPatient,src/patient/patient.service.ts,27,51,4,structured,6913,1b3fdbe017690d6a823e771cd73ae962cf5c01ea2fdeb88cea96c64ea7c750d0
patient,updatePatient,src/patient/patient.service.ts,53,75,10,zero_shot,3333,a302a97591ec9439c71dcf7dd49a002afd57ca12eb51710411e1d608cdf1d988
patient,updatePatient,src/patient/patient.service.ts,53,75,10,few_shot,6622,1cd4864887b81c4e38c2a8bc16e1cd29cfa1f174fd7f8b72bbf7f066f215f707
patient,updatePatient,src/patient/patient.service.ts,53,75,10,structured,6845,acbbe1300f428d356575e9580ce922047925fbd2c5c89db64360f7ede24e14dc
patient,findByCpfOrFail,src/patient/patient.service.ts,77,83,2,zero_shot,2489,89e6b56bb8f8c721ba9d966eb58ead550ee4cd74b8e0009044211d6505e7d92f
patient,findByCpfOrFail,src/patient/patient.service.ts,77,83,2,few_shot,5780,749078ffaaf828f4a05af4fca6bb95b3de66ec42b5cb38b8ca647e20f0f5e00f
patient,findByCpfOrFail,src/patient/patient.service.ts,77,83,2,structured,5596,e55615c3c40329e8118f9165ea1e4ea92decfbcc589a2ef17222ec2376bce7bf
result,createResult,src/result/result.service.ts,26,39,5,zero_shot,3925,c11567c682628a8b4c4c6bde0b28cd6f19546199d49cf499d096e2718093bc94
result,createResult,src/result/result.service.ts,26,39,5,few_shot,7213,8bdcf934963c4579d88a5ff847cb1083661806409e6f47e9cead78f716fc6059
result,createResult,src/result/result.service.ts,26,39,5,structured,7200,ec62b594ccb6760695771fd3f4842a9bcaee90bf1bfb9588d5e3a379e76afc63
result,searchResults,src/result/result.service.ts,41,43,1,zero_shot,3628,77279cb014437ba30ff800e3af95b2bebd4f3fe9f8fcc34c6c9ada2d7d30869e
result,searchResults,src/result/result.service.ts,41,43,1,few_shot,6917,d24191d995f6808a0f1f67d6bc0ffdef5a255223ecc6909e1e5c6113f67b85a2
result,searchResults,src/result/result.service.ts,41,43,1,structured,6678,0a5df23bf1b31b9515b461615cedf14472a512d5861882813d8dc8e5a74840b1
result,getResultById,src/result/result.service.ts,45,51,2,zero_shot,3427,c6b33bfbb4db5da5211e3a42bc805a139c64810fc4389a17825ed9931c0a0a52
result,getResultById,src/result/result.service.ts,45,51,2,few_shot,6716,cbd5eae52b7b20b09263d432c7eb6df42a3a0849c0e86ccf6364dd78787325ae
result,getResultById,src/result/result.service.ts,45,51,2,structured,6543,2d59604b54546378aaff130266e3cf535408ce17e188b5122f7e1f6f7085d71b
result,buildResultReport,src/result/result.service.ts,53,124,17,zero_shot,5610,508cab4f80cfeb230148188da1ab048390bbdb974721b2c7688e55c69c77e982
result,buildResultReport,src/result/result.service.ts,53,124,17,few_shot,8903,a19856e8fb6395ff34fa479134b7ac33a4cf29098886d87b798d2dd2ed23afc6
result,buildResultReport,src/result/result.service.ts,53,124,17,structured,10092,54aadc0e933a2a95baeaba58efb881dbad98c4bfa4cbf4b95d10351fdca240d3
result,updateResult,src/result/result.service.ts,126,206,26,zero_shot,6013,83d778cfd48bef9b56995bc560e96690a40b8f245d3abae444c52abc6d28b23c
result,updateResult,src/result/result.service.ts,126,206,26,few_shot,9301,d2daf8064b468fa995d563197f9a4827f5041992f77252744f820cc9243c847f
result,updateResult,src/result/result.service.ts,126,206,26,structured,10290,cbafdcf0db20487998c274738d0be5e765fbd7ec37792853631900495aa10b92
